Date : 2025-08-23 05:02:00
Directory : /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap
Total : 68 files,  11683 codes, 284 comments, 582 blanks, all 12549 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |      7,859 |          0 |          3 |      7,862 |
| TypeScript JSX     |         24 |      2,105 |        150 |        241 |      2,496 |
| TypeScript         |         32 |      1,245 |        114 |        237 |      1,596 |
| PowerShell         |          1 |        187 |         14 |         28 |        229 |
| Markdown           |          2 |        170 |          0 |         65 |        235 |
| PostCSS            |          1 |         62 |          5 |          4 |         71 |
| JSON with Comments |          1 |         41 |          0 |          1 |         42 |
| JavaScript         |          2 |         10 |          1 |          2 |         13 |
| Ignore             |          1 |          4 |          0 |          1 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |         68 |     11,683 |        284 |        582 |     12,549 |
| . (Files)                                                                                  |         12 |      7,970 |          7 |         30 |      8,007 |
| app                                                                                        |         32 |      1,963 |        122 |        306 |      2,391 |
| app (Files)                                                                                |          3 |        160 |         12 |         16 |        188 |
| app/(auth)                                                                                 |          1 |          8 |          0 |          3 |         11 |
| app/actions                                                                                |          1 |         24 |          1 |          4 |         29 |
| app/api                                                                                    |         14 |        876 |         72 |        163 |      1,111 |
| app/api/competitors                                                                        |          2 |        104 |          4 |         16 |        124 |
| app/api/competitors (Files)                                                                |          1 |         19 |          0 |          6 |         25 |
| app/api/competitors/[id]                                                                   |          1 |         85 |          4 |         10 |         99 |
| app/api/debug                                                                              |          1 |         10 |          0 |          3 |         13 |
| app/api/debug/whoami                                                                       |          1 |         10 |          0 |          3 |         13 |
| app/api/export                                                                             |          1 |         86 |          4 |         11 |        101 |
| app/api/export-csv                                                                         |          1 |        132 |         14 |         22 |        168 |
